Date,number_of_tweets,avg_vader_sentiment_score
2012-10-15,18,0.3125555555555556
2012-10-16,35,0.11432857142857143
2012-10-17,63,-0.014626984126984127
2012-10-18,38,0.11979473684210526
2012-10-19,45,0.06506222222222222
2012-10-21,6,0.07465
2012-10-22,24,0.007433333333333324
2012-10-23,33,-0.04569393939393939
2012-10-24,18,0.36069999999999997
2012-10-25,26,0.3236461538461538
2012-10-26,51,0.1775019607843137
2012-10-27,6,-0.02921666666666668
2012-10-28,6,-0.4719333333333333
2012-10-29,10,0.03650999999999999
2012-10-30,29,0.2516448275862069
2012-10-31,29,0.3640275862068965
2012-11-01,13,-0.06108461538461539
2012-11-02,38,0.021276315789473685
2012-11-03,2,0.384
2012-11-04,8,-0.1439
2012-11-05,40,0.09744250000000002
2012-11-06,39,0.05313076923076924
2012-11-07,36,0.05084444444444444
2012-11-08,20,0.21753999999999998
2012-11-09,20,0.06304499999999999
2012-11-10,10,0.34572
2012-11-11,2,0.17809999999999998
2012-11-12,8,0.07015
2012-11-13,18,0.14496666666666666
2012-11-14,18,0.41965555555555556
2012-11-15,31,0.3086645161290323
2012-11-16,9,0.25889999999999996
2012-11-19,22,0.12092272727272727
2012-11-20,31,0.24563870967741935
2012-11-21,15,0.4064133333333333
2012-11-25,4,-0.310225
2012-11-26,11,0.03440000000000001
2012-11-27,21,0.16042380952380952
2012-11-28,28,0.33666428571428575
2012-11-29,25,0.271948
2012-11-30,21,0.4663809523809524
2012-12-03,18,0.18271111111111113
2012-12-04,27,0.35927777777777775
2012-12-05,33,0.25449393939393944
2012-12-06,53,0.22492264150943395
2012-12-07,24,0.152775
2012-12-10,20,0.2327
2012-12-11,24,0.16183333333333333
2012-12-12,22,0.2973409090909091
2012-12-13,6,0.46935
2012-12-14,1,-0.6808
2012-12-15,2,-0.013249999999999984
2012-12-17,3,-0.21489999999999998
2012-12-18,11,0.24211818181818182
2012-12-19,21,0.10335714285714286
2012-12-20,34,0.2619235294117647
2012-12-21,23,0.3099608695652174
2012-12-23,4,0.58945
2012-12-24,1,0.7778
2012-12-26,6,0.29716666666666663
2012-12-27,7,0.08255714285714286
2012-12-28,32,0.388525
2013-01-01,4,0.011725
2013-01-02,20,0.17641
2013-01-03,53,0.19062264150943395
2013-01-04,20,0.347485
2013-01-07,19,0.2217052631578947
2013-01-08,44,0.35511363636363635
2013-01-09,45,0.20347333333333334
2013-01-10,56,0.34866428571428576
2013-01-11,34,0.22329705882352943
2013-01-14,34,0.11069411764705882
2013-01-15,33,0.22056060606060607
2013-01-16,16,-0.02032499999999999
2013-01-17,17,0.035623529411764714
2013-01-18,33,0.19399393939393939
2013-01-21,12,0.32495
2013-01-22,56,0.26078928571428567
2013-01-23,37,0.29150270270270273
2013-01-24,47,0.19332340425531916
2013-01-25,28,0.0941142857142857
2013-01-28,10,0.073
2013-01-29,27,0.30072592592592595
2013-01-30,35,0.24609142857142854
2013-01-31,40,0.20351499999999997
2013-02-01,23,0.17377826086956522
2013-02-04,30,0.34692666666666666
2013-02-05,53,0.33866981132075474
2013-02-06,61,0.3329065573770492
2013-02-07,61,0.2686032786885246
2013-02-08,25,0.311376
2013-02-09,4,0.348425
2013-02-10,1,0.8885
2013-02-11,11,0.25593636363636363
2013-02-12,50,0.24767400000000003
2013-02-13,65,0.32225846153846155
2013-02-14,60,0.257165
2013-02-15,39,0.1768871794871795
2013-02-16,2,0.5326500000000001
2013-02-17,1,0.4404
2013-02-18,1,0.0
2013-02-19,27,0.31181851851851855
2013-02-20,58,0.3319120689655173
2013-02-21,36,0.30404444444444445
2013-02-22,22,0.16835454545454545
2013-02-23,11,0.4370545454545454
2013-02-24,8,0.4968625
2013-02-25,57,0.18000526315789475
2013-02-26,50,0.20163599999999998
2013-02-27,98,0.3519714285714286
2013-02-28,37,0.23383783783783782
2013-03-01,32,0.30656875
2013-03-02,17,0.3441764705882353
2013-03-03,35,0.35638
2013-03-04,37,0.23577567567567564
2013-03-05,19,0.45548947368421056
2013-03-06,20,0.433725
2013-03-07,23,0.38244782608695654
2013-03-08,23,0.3633304347826087
2013-03-09,1,0.0
2013-03-10,5,0.14012
2013-03-11,31,0.21980967741935484
2013-03-12,24,0.29520416666666666
2013-03-13,24,0.3535458333333333
2013-03-14,27,0.06865185185185185
2013-03-15,26,0.14068076923076922
2013-03-16,2,0.3715
2013-03-17,16,0.48316875000000004
2013-03-18,59,0.16413050847457628
2013-03-19,82,0.18351219512195122
2013-03-20,43,0.32287441860465116
2013-03-21,17,0.09994705882352942
2013-03-22,21,0.15482380952380953
2013-03-23,9,0.41828888888888893
2013-03-24,13,0.6196846153846154
2013-03-25,44,0.1878886363636364
2013-03-26,27,0.030485185185185185
2013-03-27,31,0.4140741935483871
