Date,number_of_tweets,avg_vader_sentiment,avg_finbert_sentiment
2012-05-18,6,-0.061449999999999984,0.14561468362808228
2012-05-20,1,0.5859,0.0
2012-05-21,4,0.27790000000000004,0.2509933412075043
2012-05-22,16,0.016299999999999995,-0.06022573634982109
2012-05-23,10,-0.05008,-0.19485644102096558
2012-05-24,11,0.35715454545454545,0.34537327831441705
2012-05-27,1,-0.4019,-0.5336892008781433
2012-05-29,8,0.15383750000000002,0.12499944865703583
2012-05-30,21,0.09193809523809524,0.0947799285252889
2012-05-31,11,-0.1064090909090909,-0.2482620206746188
2012-06-01,17,-0.07209999999999998,-0.17609256155350628
2012-06-02,1,0.0,0.0
2012-06-03,2,0.2553,0.0
2012-06-04,11,0.1475,-0.0783684416250749
2012-06-05,9,-0.051433333333333324,-0.0771657559606764
2012-06-06,9,0.18231111111111112,0.03872432311375936
2012-06-07,8,0.1626,0.25085194408893585
2012-06-08,4,-0.20737499999999998,0.24998712539672852
2012-06-09,6,0.2347,0.02519337336222331
2012-06-11,7,-0.12314285714285715,-0.24934588159833634
2012-06-12,15,0.09304666666666668,0.06666576067606608
2012-06-13,11,0.13974545454545456,-0.0763939998366616
2012-06-14,8,0.242925,-0.189660906791687
2012-06-15,7,0.3687571428571429,0.0
2012-06-18,3,0.5739666666666667,0.6654768387476603
2012-06-19,6,0.020699999999999996,0.16666656732559204
2012-06-20,8,0.1131125,-0.10998682677745819
2012-06-21,5,0.16868,0.19950404167175292
2012-06-22,9,0.19200000000000003,-0.05999242597156101
2012-06-25,9,0.2077888888888889,0.2212797866927253
2012-06-26,5,-0.1085,-0.19940314292907715
2012-06-27,6,0.17938333333333334,-0.05948885281880697
2012-06-28,7,-0.1557714285714286,-0.22024613618850708
2012-06-29,11,0.5668727272727273,0.3203247081149708
2012-07-02,9,0.02531111111111111,0.21501154369778103
2012-07-03,13,0.1562076923076923,0.024943869847517747
2012-07-05,6,-0.09238333333333333,-0.16647965709368387
2012-07-06,6,0.3068166666666667,0.0025001068909962973
2012-07-07,1,0.7964,0.0
2012-07-09,2,0.65715,0.4974772036075592
2012-07-10,7,0.11297142857142857,5.717788423810687e-05
2012-07-11,13,0.1896769230769231,0.09606196788641122
2012-07-12,6,-0.12925,0.0
2012-07-13,14,0.05190000000000001,-0.15875868925026485
2012-07-16,4,0.30110000000000003,0.2370811402797699
2012-07-17,20,0.15706,0.14224934577941895
2012-07-18,21,0.12123333333333332,-0.080239733060201
2012-07-19,15,-0.013020000000000002,-0.0828543225924174
2012-07-20,11,-0.2671818181818182,-0.06427150964736938
2012-07-23,8,-0.0002124999999999974,0.12499123811721802
2012-07-24,9,0.09972222222222223,-0.33356204960081315
2012-07-25,9,0.07306666666666668,-0.2150644130176968
2012-07-26,2,-0.37545,0.19446775317192078
2012-07-27,6,0.16631666666666667,0.1798573136329651
2012-07-30,7,0.08074285714285716,-0.39001794372286114
2012-07-31,14,0.03312857142857143,0.18779250127928598
2012-08-01,13,0.2470153846153846,0.22514718770980835
2012-08-02,11,0.14678181818181815,0.07680273056030273
